Af_As_syn	Af_As_ns	Af_An_syn	Af_An_ns	As_An_syn	As_An_ns	As_syn_pol	As_ns_pol	Afr_syn_pol	Afr_ns_pol	len	stat	CDS
0	0	0	1	0	1	2	1	0	0	2235	3.5	rna75_gene=DHX32
0	0	0	1	0	1	0	0	2	0	924	7	rna79_gene=BCCIP
0	1	1	2	1	1	0	0	0	1	795	-0.25	rna81_gene=UROS
2	3	5	7	5	8	0	1	0	0	1650	1.41666666666667	rna90_gene=MMP21
1	0	7	4	6	4	1	0	0	1	3708	0.741071428571429	rna92_gene=EDRF1
2	0	3	0	1	0	1	0	0	0	1473	0.583333333333333	rna101_gene=CTBP2
3	2	3	2	0	0	2	0	0	0	2205	1.5	rna102_gene=ZRANB1
3	1	2	2	1	1	2	1	0	0	1323	1.75	rna104_gene=FAM175B
1	1	1	2	0	1	0	2	0	0	1278	1.83333333333333	rna107_gene=FAM53B
0	0	4	3	4	3	3	2	2	0	813	2.13333333333333	rna109_gene=LHPP
2	0	3	0	1	0	3	0	0	0	1320	0.916666666666667	rna111_gene=OAT
1	2	3	3	2	1	2	2	1	0	1686	1.16666666666667	rna116_gene=CHST15
2	0	1	0	1	0	7	1	3	0	1605	2.66666666666667	rna117_gene=CPXM2
1	0	3	0	2	0	4	1	0	0	864	-0.166666666666667	rna118_gene=GPR26
3	1	4	6	1	5	1	0	0	0	801	6.4	rna123_gene=HMX2
1	0	1	0	0	0	4	3	7	3	1077	1.625	rna124_gene=HMX3
1	2	2	1	1	2	3	0	1	0	1299	1.33333333333333	rna126_gene=ACADSB
1	0	4	0	3	0	1	0	0	0	1260	-0.3	rna127_gene=IKZF5
0	0	1	1	1	1	4	2	1	0	1077	2	rna129_gene=PSTK
0	2	2	4	2	2	4	2	0	2	1221	-2.77777777777778	rna132_gene=C1H10orf88
1	2	2	6	3	4	4	2	0	2	1230	0.361111111111111	rna135_gene=LOC100050490
2	0	2	0	0	0	0	1	0	2	384	0.444444444444445	rna136_gene=LOC102148076
2	0	7	1	5	1	3	2	1	1	1824	0.25	rna137_gene=CUZD1
3	5	23	19	22	18	20	13	8	10	4095	-0.329051383399209	rna138_gene=LOC100058262
2	3	2	3	1	4	5	5	0	3	1032	1.5	rna139_gene=C1H10orf120
1	4	2	4	1	6	20	44	14	45	1713	1.01014492753623	rna140_gene=LOC102149122
1	5	2	2	1	5	4	13	5	15	636	0.375	rna141_gene=LOC102149178
3	10	10	13	7	11	6	9	7	14	3069	-0.196212121212121	rna142_gene=LOC100064515
1	0	4	0	5	0	5	0	0	0	1095	-1.8	rna143_gene=HTRA1
1	3	7	4	6	1	4	2	2	0	1524	-0.982142857142857	rna148_gene=BTBD16
8	9	18	16	14	13	18	17	10	11	8979	0.632521117608837	rna156_gene=TACC2
1	0	2	0	1	0	0	3	3	0	1563	1.33333333333333	rna161_gene=ATE1
0	3	4	3	4	0	3	0	1	0	2664	-13.6	rna169_gene=FGFR2
4	0	5	3	3	3	8	1	5	0	3678	7.6	rna177_gene=WDR11
0	1	2	1	2	2	4	1	1	0	993	-1.16666666666667	rna179_gene=PLPP4
1	0	4	2	3	2	9	5	2	3	2949	0.866666666666667	rna181_gene=SEC23IP
1	0	0	0	1	0	3	1	2	0	1869	3	rna182_gene=MCMBP
4	2	5	7	1	5	2	3	3	1	3411	4.46666666666667	rna183_gene=INPP5F
4	1	6	2	4	1	8	2	2	0	1737	1.28571428571429	rna188_gene=BAG3
1	0	3	0	4	0	0	1	0	0	1179	0.1	rna190_gene=TIAL1
0	0	1	1	1	1	5	2	0	0	1743	1	rna197_gene=GRK5
0	0	0	1	0	1	0	3	0	0	264	2.25	rna198_gene=LOC106782043
0	1	0	3	0	2	2	4	1	0	771	8.6	rna199_gene=PRDX3
2	0	11	2	9	2	7	1	5	0	4473	1.36666666666667	rna208_gene=EIF3A
4	1	5	0	1	1	0	0	2	0	1110	1.1	rna212_gene=CACUL1
1	1	1	1	0	0	1	3	0	0	1113	1	rna213_gene=PRLHR
0	1	1	7	1	6	1	2	0	2	930	2.33333333333333	rna214_gene=FAM204A
0	1	0	1	0	0	1	2	1	1	1539	1.33333333333333	rna218_gene=RAB11FIP2
0	0	1	0	1	0	0	0	0	0	702	0	rna221_gene=EMX2
1	0	5	5	4	5	3	1	1	0	3453	3.4	rna223_gene=PDZD8
0	0	5	1	5	1	2	2	0	1	1554	-0.5	rna224_gene=SLC18A2
1	2	1	3	0	1	0	2	2	3	1152	1.66666666666667	rna226_gene=KCNK18
1	3	2	7	1	6	0	0	0	1	975	2.83333333333333	rna227_gene=VAX1
0	2	1	3	1	1	2	1	0	0	1896	-1	rna229_gene=SHTN1
1	0	3	8	4	8	3	7	0	5	1968	1.025	rna231_gene=ENO4
2	2	4	2	2	0	4	0	0	0	1578	-2.73333333333333	rna232_gene=HSPA12A
1	0	4	2	3	2	1	2	0	1	705	0.466666666666667	rna233_gene=C1H10orf82
1	0	6	0	5	0	6	2	1	4	1521	-0.720634920634921	rna238_gene=PNLIPRP2
0	0	3	0	3	0	4	2	3	2	1422	-0.916666666666667	rna239_gene=PNLIPRP1
0	1	1	2	1	1	2	0	2	0	1398	1.5	rna240_gene=PNLIP
0	0	5	1	5	1	2	5	0	1	1404	-0.166666666666667	rna242_gene=PNLIPRP3
0	0	1	0	1	0	3	3	0	0	777	0	rna243_gene=CCDC172
1	0	1	0	0	0	0	1	0	1	1182	0.5	rna245_gene=GFRA1
2	0	7	1	7	1	5	5	4	0	4098	1.16666666666667	rna246_gene=ATRNL1
0	0	3	2	3	2	4	3	2	2	1053	0.4375	rna247_gene=TRUB1
2	5	12	20	10	15	2	5	3	2	3153	1.88111888111888	rna249_gene=FAM160B1
1	1	2	0	1	1	3	1	1	0	2364	0.666666666666667	rna255_gene=ABLIM1
2	7	6	10	6	5	8	5	4	1	3099	1.21428571428571	rna263_gene=AFAP1L2
1	2	4	4	3	2	6	6	1	4	2469	-0.35	rna264_gene=VWA2
0	2	5	5	5	5	1	6	4	6	3654	0.142857142857143	rna266_gene=TDRD1
0	0	4	1	4	1	6	2	1	2	2727	-1.13333333333333	rna268_gene=CCDC186
1	0	2	0	1	0	0	0	2	0	621	1	rna269_gene=ADRB1
0	0	0	3	0	3	2	4	2	3	2181	4.8	rna271_gene=NHLRC2
2	2	5	6	3	4	5	5	5	6	3132	1.25	rna272_gene=DCLRE1A
0	6	1	8	1	4	1	1	0	0	1413	0	rna276_gene=PLEKHS1
0	1	2	2	2	1	2	1	1	1	909	-1	rna280_gene=CASP7
7	3	5	5	2	2	12	5	5	4	5190	2.28333333333333	rna281_gene=NRAP
2	2	9	4	7	2	10	4	0	3	1698	-1.25	rna291_gene=HABP2
2	1	4	1	2	0	2	0	2	0	1566	0.2	rna292_gene=TCF7L2
1	0	1	0	2	0	0	0	1	1	1074	0.333333333333333	rna298_gene=ZDHHC6
4	3	3	4	1	3	1	2	2	2	2052	2.05	rna303_gene=ACSL5
1	5	5	17	5	14	6	10	5	11	3147	1.18181818181818	rna304_gene=LOC100068630
1	0	1	0	0	0	2	0	3	2	948	2.16666666666667	rna305_gene=TECTB
0	0	2	0	2	0	2	1	0	4	2526	-0.933333333333333	rna308_gene=GPAM
4	11	4	12	0	1	14	10	18	14	1584	2.74787878787879	rna313_gene=ADRA2A
1	0	0	0	1	0	0	0	1	0	210	2	rna317_gene=BBIP1
2	0	1	0	1	0	0	0	1	0	1440	1.16666666666667	rna320_gene=PDCD4
5	1	6	3	7	2	5	1	6	3	3753	1.125	rna322_gene=RBM20
5	0	7	0	10	0	1	0	3	0	3654	0.348484848484849	rna326_gene=SMC3
0	3	0	4	0	1	0	3	2	0	990	14.5	rna327_gene=DUSP5
2	0	2	0	2	0	0	1	1	2	2121	0.222222222222222	rna338_gene=ADD3
1	1	1	1	0	0	4	1	1	0	1872	2	rna339_gene=XPNPEP1
3	2	9	2	8	0	13	3	6	3	3459	-1.71111111111111	rna343_gene=SORCS1
4	0	5	0	7	0	9	9	2	3	3483	0.05	rna344_gene=SORCS3
2	2	3	2	1	0	8	0	3	1	2622	-3	rna345_gene=CFAP58
1	2	1	2	0	0	6	4	0	0	1791	0.8	rna350_gene=ITPRIP
0	0	1	0	1	0	4	3	2	0	756	0.875	rna352_gene=GSTO2
6	2	7	3	3	1	8	7	3	5	5061	0.413690476190476	rna353_gene=CFAP43
1	1	1	0	0	1	0	1	1	0	726	1.5	rna354_gene=GSTO1
3	3	4	4	1	5	2	4	2	1	735	2.7	rna356_gene=SFR1
6	1	12	4	6	3	10	4	3	3	4479	1.01318681318681	rna359_gene=COL17A1
1	0	5	1	4	1	2	3	1	1	3729	0.258333333333333	rna361_gene=SLK
0	0	1	0	1	0	2	1	0	1	1116	-0.5	rna362_gene=OBFC1
3	4	4	3	1	1	5	4	4	2	3387	1.03333333333333	rna366_gene=SH3PXD2A
1	1	4	1	3	0	1	1	3	1	1506	0.05	rna371_gene=NEURL1
0	0	3	0	3	0	3	0	2	3	1035	-2.8125	rna372_gene=CALHM3
1	2	3	3	2	1	5	2	1	0	1035	0.333333333333333	rna373_gene=CALHM1
0	0	3	0	3	0	6	0	0	0	972	-5	rna374_gene=CALHM2
3	2	10	7	11	7	9	6	13	6	5616	1.33549783549784	rna380_gene=PDCD11
0	0	1	0	1	0	1	0	0	0	177	-0.5	rna381_gene=USMG5
1	0	3	0	2	0	1	0	0	0	1971	-0.0833333333333334	rna384_gene=TAF5
0	1	1	2	1	1	0	0	0	0	1056	0.5	rna386_gene=PCGF6
0	0	4	9	4	9	2	1	0	2	1482	2.16666666666667	rna387_gene=INA
0	0	1	0	1	0	1	0	0	0	1716	-0.5	rna388_gene=NT5C2
0	0	1	0	1	0	1	1	0	0	564	0	rna389_gene=LOC106782026
0	0	3	0	3	0	1	0	1	0	1368	-1	rna390_gene=LOC100059801
1	1	1	0	2	1	2	2	1	1	1128	0.166666666666667	rna391_gene=AS3MT
0	0	1	0	1	0	0	0	0	0	318	0	rna393_gene=BORCS7
1	0	1	1	0	1	0	2	3	0	1527	4.5	rna394_gene=CYP17A1
1	1	1	1	0	0	2	0	1	1	1098	1	rna395_gene=WBP1L
1	1	2	2	1	1	2	0	0	0	978	1	rna400_gene=SFXN2
1	1	4	1	3	0	0	0	1	0	1656	0.05	rna403_gene=TRIM8
1	1	3	0	2	1	2	0	0	0	1458	-0.75	rna405_gene=SUFU
0	0	1	0	1	0	1	0	1	0	1131	0	rna407_gene=ACTR1A
1	1	4	1	3	0	3	6	0	1	1554	-0.228571428571429	rna408_gene=MFSD13A
0	1	0	0	0	1	1	0	0	0	864	1	rna414_gene=CUEDC2
2	1	2	0	2	1	0	2	0	0	993	0.333333333333333	rna416_gene=FBXL15
2	2	5	7	3	5	0	2	1	1	3084	1.5	rna417_gene=PSD
2	0	1	0	1	0	1	0	0	0	2706	0.833333333333333	rna418_gene=NFKB2
0	0	2	0	2	0	3	0	2	1	5688	-2.16666666666667	rna419_gene=GBF1
0	0	1	1	1	1	2	6	1	2	1179	0.666666666666667	rna429_gene=PITX3
0	3	0	0	0	3	0	1	0	0	813	1	rna431_gene=ELOVL3
2	1	0	6	2	5	0	5	1	4	2139	3.02222222222222	rna434_gene=NOLC1
2	6	3	7	1	3	3	1	0	1	4992	0.333333333333333	rna438_gene=PPRC1
1	0	1	0	0	0	0	0	0	0	1128	1	rna440_gene=LDB1
1	2	1	1	0	1	0	2	1	3	2412	0.666666666666667	rna443_gene=HPS6
1	0	3	1	2	1	3	0	0	0	2070	1.16666666666667	rna444_gene=C1H10orf76
0	0	0	2	0	2	1	0	1	0	822	10	rna450_gene=KCNIP2
0	0	2	0	2	0	1	0	1	0	2751	-0.666666666666667	rna451_gene=MGEA5
1	0	1	0	0	0	1	0	0	0	534	1.5	rna452_gene=NPM3
1	0	6	3	5	3	0	0	1	0	726	1.30952380952381	rna453_gene=FGF8
2	1	3	3	1	4	3	0	1	0	1413	9.33333333333333	rna457_gene=FBXW4
0	0	2	0	2	0	8	3	1	1	1578	-1.16666666666667	rna460_gene=POLL
2	0	1	1	1	1	0	0	0	0	1908	1.66666666666667	rna461_gene=BTRC
0	0	1	1	1	1	0	0	0	0	843	1	rna463_gene=LBX1
0	0	1	0	1	0	1	0	1	0	501	0	rna464_gene=TLX1
1	0	1	1	0	1	2	3	0	0	909	2.125	rna467_gene=KAZALD1
1	0	1	0	2	0	0	1	2	1	966	0.666666666666667	rna469_gene=SFXN3
1	7	6	9	5	2	2	8	2	1	3264	0.976190476190476	rna470_gene=PDZD7
2	2	2	3	0	1	3	4	3	4	2013	1.86666666666667	rna474_gene=LZTS2
1	0	1	0	0	0	0	2	0	1	2049	0.416666666666667	rna477_gene=C1H10orf2
1	1	0	1	1	0	1	0	1	0	447	3	rna478_gene=MRPL43
1	0	1	2	0	2	4	3	0	0	2520	4.625	rna480_gene=SEMA4G
4	2	5	4	3	4	5	1	0	1	3354	2.36666666666667	rna482_gene=SLF2
2	0	4	0	2	0	2	0	0	0	1203	0.2	rna483_gene=PAX2
1	0	1	0	0	0	1	0	1	0	561	2	rna485_gene=NDUFB8
3	7	2	6	3	7	0	3	4	4	3597	2.33333333333333	rna487_gene=SEC31B
2	0	1	0	3	0	2	0	0	0	1056	0.25	rna493_gene=WNT8B
0	2	0	1	0	1	1	3	1	0	1080	3.5	rna494_gene=SCD
0	1	1	1	1	0	4	4	0	0	2853	-0.5	rna495_gene=PKD2L1
2	0	2	0	0	0	0	1	1	0	471	1	rna497_gene=BLOC1S2
2	0	2	1	0	1	1	0	0	1	1617	3.66666666666667	rna498_gene=CWF19L1
1	0	1	0	0	0	0	0	0	0	2154	1	rna502_gene=CHUK
0	1	1	1	1	0	1	0	0	0	1047	-2	rna503_gene=ERLIN1
2	1	4	2	2	1	1	0	3	1	1488	1.2	rna504_gene=LOC100070400
1	1	5	1	4	2	3	2	0	0	1389	-0.2	rna505_gene=CPN1
9	3	20	8	13	5	18	10	8	3	4731	1.01363636363636	rna508_gene=DNMBP
2	1	3	1	1	2	7	1	3	1	4635	4.33333333333333	rna509_gene=ABCC2
1	0	1	1	0	1	1	0	0	0	822	4	rna513_gene=CUTC
0	2	0	3	0	1	0	2	1	1	1293	3.66666666666667	rna514_gene=LOC100060721
1	0	3	0	2	0	3	4	3	1	1806	0.366666666666667	rna518_gene=ENTPD7
2	0	2	0	0	0	1	2	0	1	1140	0.611111111111111	rna521_gene=SLC25A28
1	0	2	0	1	0	1	0	0	0	756	0.333333333333333	rna522_gene=NKX2-3
3	0	4	0	1	0	5	0	2	1	1242	1.8	rna523_gene=GOT1
2	2	4	2	4	0	8	0	5	0	2853	-3.6	rna524_gene=CNNM1
0	4	1	4	1	0	5	8	2	1	1479	0.75	rna526_gene=LOC100070602
6	4	8	7	6	3	11	2	1	1	2109	0.317460317460317	rna527_gene=HPS1
2	1	4	5	4	4	7	10	0	5	1746	0.442424242424242	rna537_gene=PYROXD2
2	1	3	1	1	0	0	4	5	8	2364	0.3	rna543_gene=R3HCC1L
1	0	3	2	2	2	4	4	5	2	2316	2	rna540_gene=LOXL4
4	0	5	0	3	0	6	1	4	0	1938	1.00833333333333	rna545_gene=CRTAC1
5	0	6	0	3	0	1	0	2	1	1302	0.380952380952381	rna553_gene=ZFYVE27
1	0	1	0	0	0	0	0	0	1	447	0.75	rna559_gene=AVPI1
2	0	0	0	2	0	0	0	2	2	1074	1	rna561_gene=PI4K2A
1	0	2	0	1	0	2	0	1	0	441	0.666666666666667	rna562_gene=MORN4
1	0	1	0	0	0	4	2	0	2	984	1	rna567_gene=HOGA1
1	2	1	1	0	1	1	0	0	1	711	1.5	rna569_gene=C1H10orf62
2	0	5	0	3	0	4	0	2	0	1086	0.0833333333333335	rna570_gene=ANKRD2
0	0	1	1	1	1	1	0	0	0	684	1	rna572_gene=UBTD1
1	0	1	4	2	4	29	65	42	84	3015	1.79500891265597	rna573_gene=MMS19
2	1	2	0	2	1	3	1	1	0	1134	0.666666666666667	rna580_gene=ZDHHC16
4	1	8	2	6	1	9	3	3	4	3891	-0.0190476190476192	rna584_gene=RRP12
1	0	2	0	1	0	0	0	0	0	1482	0.333333333333333	rna585_gene=ARHGAP19
6	1	11	3	5	2	15	2	8	2	4548	2.14285714285714	rna587_gene=SLIT1
2	2	3	4	1	2	3	6	3	0	5442	5.28571428571429	rna589_gene=LCOR
1	1	5	2	4	1	5	3	2	1	2499	-0.15	rna592_gene=PIK3AP1
0	1	3	4	3	3	1	1	1	0	1947	1.5	rna593_gene=TM9SF3
3	0	9	1	8	1	6	0	2	1	3063	0.105555555555556	rna594_gene=TLL2
0	0	2	0	2	0	0	0	0	0	429	-0.333333333333333	rna595_gene=OPALIN
2	1	3	2	1	1	2	4	0	0	1530	0.95	rna597_gene=DNTT
2	1	2	2	0	1	5	0	0	0	1377	9	rna598_gene=BLNK
0	0	1	3	1	3	0	4	0	2	4470	0.866666666666667	rna601_gene=ZNF518A
0	0	2	1	2	1	1	0	0	0	1152	0	rna610_gene=CCNJ
1	1	2	1	1	0	1	4	2	3	1845	0.3	rna611_gene=CC2D2B
3	3	6	4	3	1	2	2	1	4	1032	-0.214285714285714	rna612_gene=C1H10orf131
0	1	1	3	1	2	4	3	1	3	1572	0.375	rna617_gene=ENTPD1
2	3	4	8	2	5	0	5	2	1	1830	2.81111111111111	rna620_gene=TCTN3
4	0	3	0	1	0	8	1	1	0	2388	1.85	rna622_gene=ALDH18A1
4	6	7	12	7	8	8	16	0	3	1425	0.260661764705883	rna623_gene=LOC102149234
4	2	5	3	5	3	8	9	2	1	4776	1.06	rna624_gene=SORBS1
0	0	1	1	1	1	3	1	1	0	990	2	rna670_gene=PDLIM1
3	4	3	10	2	14	6	19	7	17	1488	2.53472222222222	rna671_gene=LOC100061367
1	7	2	12	1	5	5	14	7	2	1488	11.1555555555556	rna672_gene=LOC100061400
1	0	3	2	2	2	3	4	2	0	1473	2.65	rna673_gene=CYP2C92
1	2	1	8	0	6	5	7	1	3	1476	6.375	rna674_gene=LOC100061470
2	4	1	2	1	4	0	4	2	3	1473	1.29166666666667	rna676_gene=LOC100061502
0	2	0	4	1	2	0	1	3	7	1473	1.75	rna678_gene=LOC100061542
1	2	8	2	7	2	2	1	1	1	1473	-1.35416666666667	rna679_gene=LOC100071061
0	1	2	5	2	4	1	5	0	4	1473	0.288888888888889	rna680_gene=CYP2C113
2	2	4	3	2	1	2	8	0	2	1473	0.155555555555556	rna681_gene=LOC100061609
0	0	2	3	2	3	0	1	0	2	2514	0.611111111111111	rna682_gene=HELLS
1	0	1	0	0	0	0	0	2	0	1107	2	rna684_gene=TBC1D12
0	0	2	1	2	1	1	2	5	3	2400	0.777777777777778	rna685_gene=NOC3L
1	2	6	3	7	3	8	6	6	2	6900	0.0476190476190474	rna686_gene=PLCE1
0	1	0	1	0	0	4	2	1	0	1017	2.33333333333333	rna687_gene=SLC35G1
0	0	2	0	2	0	3	1	2	1	1926	-0.833333333333333	rna688_gene=LGI1
0	1	2	1	2	0	1	0	1	1	948	-2.66666666666667	rna689_gene=FRA10AC1
2	0	2	0	2	0	7	1	4	0	2565	1.66666666666667	rna692_gene=PDE6C
0	0	2	3	2	3	0	0	0	0	495	1.66666666666667	rna693_gene=RBP4
1	1	3	1	4	0	2	0	0	1	1086	-2.15	rna694_gene=FFAR4
0	0	2	0	2	0	3	1	0	0	1392	-1	rna695_gene=CEP55
3	0	6	1	5	1	11	1	6	0	5886	2.5	rna697_gene=MYOF
0	1	0	3	0	2	2	1	2	2	444	5.5	rna698_gene=LOC100071214
0	1	1	1	1	0	2	1	2	1	1494	-0.75	rna699_gene=LOC100061805
0	3	3	2	3	1	2	1	1	1	1323	-4.5	rna700_gene=LOC100071239
1	0	3	1	2	1	3	2	1	1	2436	0.722222222222222	rna701_gene=EXOC6
0	0	0	1	0	1	0	1	0	0	861	2.5	rna702_gene=HHEX
0	1	0	1	0	2	2	1	0	2	3171	2.16666666666667	rna703_gene=KIF11
3	0	8	0	7	0	4	1	0	0	3060	-0.201388888888889	rna704_gene=IDE
2	0	2	0	0	0	1	0	0	0	948	1.66666666666667	rna712_gene=MARCH5
1	0	3	1	2	1	2	0	0	0	2142	1	rna714_gene=CPEB3
6	2	12	2	8	2	1	2	0	1	5217	0.0518925518925519	rna715_gene=BTAF1
0	0	2	1	2	1	0	1	0	0	582	0.5	rna716_gene=FGFBP3
2	1	4	2	2	1	3	0	6	0	3504	4.2	rna717_gene=TNKS2
0	1	0	1	0	0	0	2	3	0	954	7.66666666666667	rna718_gene=PPP1R3C
3	0	3	3	0	3	4	0	1	1	2295	19.75	rna719_gene=HECTD2
1	0	3	0	2	0	0	0	0	0	783	0.0833333333333333	rna722_gene=PCGF5
1	0	2	0	1	0	1	1	1	1	960	0.333333333333333	rna723_gene=ANKRD1
0	0	4	0	4	0	0	2	1	0	807	0.133333333333333	rna724_gene=RPP30
2	2	7	8	5	6	2	2	0	1	1689	0.729166666666667	rna725_gene=HTR7
6	6	10	6	4	4	6	5	5	8	5469	0.424242424242424	rna729_gene=KIF20B
3	2	3	4	0	2	3	9	0	2	942	1.31666666666667	rna731_gene=LOC100630780
0	0	0	2	0	2	3	1	0	0	1113	7	rna732_gene=PANK1
0	1	3	1	3	0	2	2	1	0	1554	-0.75	rna735_gene=SLC16A12
2	1	2	2	0	3	3	5	2	7	1449	2.59722222222222	rna736_gene=IFIT5
1	4	3	10	2	6	1	2	1	0	1398	5.38888888888889	rna738_gene=LOC100630879
1	0	4	1	3	1	6	2	1	5	1473	0.133333333333333	rna740_gene=IFIT3
3	4	4	6	1	2	1	0	1	3	1413	1.2	rna741_gene=IFIT2
0	1	1	2	1	1	1	1	1	2	1230	0	rna742_gene=LIPA
1	0	0	2	1	2	1	0	1	0	813	8	rna743_gene=CH25H
1	0	1	4	0	4	2	2	2	1	1098	8.25	rna745_gene=FAS
0	0	1	0	1	0	2	0	3	0	1134	0.5	rna748_gene=ACTA2
0	0	1	0	1	0	0	1	5	0	1308	2.75	rna755_gene=STAMBPL1
1	0	0	1	1	1	0	2	2	2	576	2.16666666666667	rna757_gene=ANKRD22
0	1	1	1	1	0	1	3	0	0	1359	0.25	rna760_gene=LIPM
0	1	0	2	0	1	0	0	2	0	1203	9	rna761_gene=LIPN
0	1	1	2	1	1	1	1	0	0	1416	0.5	rna763_gene=LOC100062243
0	1	3	6	3	5	1	18	2	8	1194	0.530701754385965	rna768_gene=LOC100071675
0	1	2	1	2	0	2	1	5	6	1197	-1.92857142857143	rna769_gene=LOC100062284
0	1	2	5	2	4	0	5	0	3	957	0.444444444444444	rna771_gene=LOC100071694
0	5	1	10	1	7	0	7	1	3	1191	2.5	rna772_gene=LOC100071699
1	1	1	2	0	1	1	0	1	3	1101	2.75	rna773_gene=LOC100071706
0	1	0	2	0	1	1	0	2	1	1029	4.5	rna774_gene=RNLS
0	0	1	0	1	0	1	0	0	0	813	-0.5	rna780_gene=PTEN
2	0	2	0	2	0	0	2	0	0	873	0.333333333333333	rna781_gene=KLLN
3	1	3	3	6	2	6	1	1	0	1863	1.75	rna786_gene=PAPSS2
0	0	3	0	3	0	3	1	1	0	1467	-1	rna787_gene=MINPP1
2	1	6	0	6	1	5	0	0	0	1260	-2.14285714285714	rna789_gene=SGMS1
0	3	1	5	1	2	9	7	3	4	2352	-0.725	rna792_gene=ASAH2
6	0	5	0	5	0	6	1	1	0	1794	0.416666666666667	rna794_gene=A1CF
2	0	5	0	3	0	1	0	2	0	2061	0.333333333333333	rna796_gene=PRKG1
1	1	1	2	0	1	1	1	2	1	1860	3.25	rna797_gene=CSTF2T
0	0	2	0	2	0	1	2	2	0	783	0.555555555555556	rna801_gene=DKK1
1	1	1	4	2	3	5	6	0	3	768	0.910714285714286	rna802_gene=MBL2
